name, description
sweater, red light sweater with a white image of a deer
shoes, blue summer strap sandals with sparkles
jacket, black leather jacket with silver zippers and a belt
jeans, classic blue skinny jeans with ripped knees
hat, beige straw hat with a black ribbon around the brim
scarf, long wool scarf in green and white stripes
shirt, white cotton shirt with short sleeves and a pocket
skirt, pleated navy-blue skirt with a floral pattern
gloves, thick black winter gloves with touchscreen tips
boots, brown ankle boots with a low heel and buckle details
tie, silk tie in a deep burgundy color with small polka dots
coat, oversized beige trench coat with large buttons
dress, sleeveless red cocktail dress with a bow at the waist
belt, brown leather belt with a gold square buckle
socks, fuzzy pink socks with a small heart pattern
shorts, denim shorts with frayed edges and a high waist
blouse, light blue chiffon blouse with ruffled sleeves
pajamas, cozy flannel pajamas in a red and black plaid design
hoodie, gray zip-up hoodie with a kangaroo pocket
cap, black baseball cap with an embroidered white logo
cardigan, cream-colored knit cardigan with wooden buttons
t-shirt, graphic t-shirt with a bold mountain print in black and white
sandals, flat black sandals with braided straps
leggings, high-waisted black leggings with a seamless design
watch, silver wristwatch with a black leather strap
slippers, soft gray slippers with a fluffy interior lining
vest, quilted navy vest with a stand collar and zip closure
suit, tailored charcoal suit with a two-button jacket
overalls, light blue denim overalls with adjustable straps
beanie, knitted mustard-yellow beanie with a pom-pom on top
glasses, round metal-frame glasses with clear lenses
parka, olive-green parka with a faux fur-lined hood
raincoat, yellow waterproof raincoat with snap buttons
mittens, wool mittens in red with snowflake embroidery
tunic, long white tunic with a lace hemline
kimono, floral kimono-style wrap with a waist tie
gown, full-length evening gown in shimmering royal blue
sneakers, white low-top sneakers with a rubber sole
backpack, black nylon backpack with multiple zippered compartments
swimsuit, one-piece black swimsuit with a halter neck design 